textContent	src	publishedDate	category	newCategory	orgName	tags
🧒🏽 Children with asthma may have more severe symptoms from COVID-19 or any other respiratory disease, including the flu.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children	2020-05-13	Symptoms	symptoms.asthma	Hopkins	#children#asthma#respiratory#disease#kids
🧒🏽 While children are generally at lower risk than adults for severe infection from the virus, children with chronic liver disorders could experience more serious liver disease if they get COVID-19.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/which-otc-medications-are-best-for-coronavirus-symptoms	2020-05-07	Symptoms	symptoms.liver	University of Chicago Medicine	liver #liverdisease #children#chronic
👃🏿👅 Early signs of the virus can also be loss of sense of smell or taste.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/covid-19-information-for-stroke-survivors-neurology-patients-and-caregivers?site=Forefront	2020-04-15	Symptoms	symptoms.smell	University of Chicago Medicine	symptoms#smell #taste #lossofsmell
ℹ️ The likelihood of COVID-19 being spread on shoes and infecting individuals is very low.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	2020-06-11	Transmission	transmission.shoe	WHO	shoe#spread
🤧 Contagiousness starts with the appearance of symptoms, even a few days before for some people. This period of contagiousness would last longer in symptomatic people, especially when they cough.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Transmission	transmission.contagious	Pasteur	#transmission#contagious#symptomatic#symptoms
ℹ️  Younger Adults Are at Risk too: They should take precautions so they don’t catch the coronavirus.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-and-covid-19-younger-adults-are-at-risk-too	2020-04-09	Transmission	transmission.young	Hopkins	young#risk
  🚬 Those who vape may have early lung injury or inflammation, and if they become infected with COVID-19. More researh is being done.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-and-covid-19-younger-adults-are-at-risk-too	2020-04-09	Transmission	transmission.vape	Hopkins	#vape#risk
ℹ️ Based on information about this novel coronavirus thus far, it seems UNLIKELY that COVID-19 can be transmitted through eating food	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Transmission	transmission.food	CDC	food#eat#infection
🐈🐕 At this time, there is NO EVIDENCE that animals play a significant role in spreading the virus that causes COVID-19	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Transmission	transmission.animal	CDC	animals#pets#spread#dog#cat#transmit
🚰 The virus that causes COVID-19 has not been detected in drinking water.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Transmission	transmission.water	CDC	drinking#water#spread#virus
🏊🏽‍♂️ There is no evidence that the virus that causes COVID-19 can be spread to people through the water in pools, hot tubs, or water playgrounds	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Transmission	transmission.swim	CDC	swim#pool#spread#virus#water
🚫 There have been NO DOCUMENTED CASES of sexual transmission of COVID-19	https://learnaboutcovid19.org/	2020-06-13	Transmission	transmission.sex	https://learnaboutcovid19.org/	sex#semen#transmit#std#sti#covid19
🤱🏽 Transmission of COVID-19 through breast milk and breastfeeding has not been detected to date.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-breastfeeding	2020-05-07	Transmission	transmission.breastmilk	WHO	breastmilk#feeding#child#breast#milk#transmit
ℹ️ Post-liver transplant patients are more susceptible to getting the coronavirus because they are immunocompromised.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/which-otc-medications-are-best-for-coronavirus-symptoms	2020-05-07	Transmission	transmission.liver	University of Chicago Medicine	liver #immunocompromised
ℹ️ Medications that suppress your immune system, which are used to treat conditions like multiple sclerosis (MS), may make patients more vulnerable to contracting the coronavirus.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/which-otc-medications-are-best-for-coronavirus-symptoms	2020-05-07	Transmission	transmission.medication	University of Chicago Medicine	medication #immunesystem #MS #multiplesclerosis #contraction#vulnerable
🤰🏾 There is currently NO EVIDENCE that COVID-19 can pass from a pregnant woman to the baby during pregnancy or delivery.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/pregnancy-and-coronavirus-covid-19	2020-03-25	Transmission	transmission.pregnant	University of Chicago Medicine	#pregnant#transmit#mother#child#woman#baby#delivery
🙅🏾‍♂️ COVID-19 IS NOT transmitted through houseflies, ticks or mosquitoes bites. To date, there is no evidence to suggest that.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-05	Transmission	transmission.insects	WHO 	fly#mosquito#bite#transmit#insect#covid19
🙅🏾‍♀️ 5G mobile networks DO NOT spread COVID-19.Viruses cannot travel on radio waves/mobile networks.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-05	Transmission	transmission.5g	WHO 	5g#spread#covid19#transmit#wave#mobile#network
🙅🏾‍♀️ There is currently no vaccine to prevent coronavirus disease 2019 (COVID-19). The best way to prevent illness is to avoid being exposed to this virus	https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html	2020-04-24	Treatment	treatment.vaccine	CDC	cure#vaccine#prevent#covid19#coronavirus#virus
🙅🏾‍♂️ There is currently no proof that chloroquine or any other drug can cure or prevent COVID-19.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	2020-04-27	Treatment	treatment.chloroquin	WHO	treatment#chloroquin#antibiotics#cure#covid19#drug#hydroxycholoquin
🙅🏾‍♂️ There is currently no specific treatment – with demonstrated efficacy – against Covid-19.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Treatment	treatment.none	Pasteur	#Treatment#Cure
🏘 In case of exposure to COVID-19, Avoid contact with those around you. 	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Treatment	treatment.contact	Pasteur	#family#contact#exposure
👨🏽‍⚕️ In case of exposure to COVID-19, Go to your doctor or to the emergency room If the symptoms worsen with breathing difficulties and signs of suffocation	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Treatment	treatment.hospital	Pasteur	#recommend#doctor#hospital#worse#symptoms#emergency
🏠 In case of exposition to COVID-19, Limit travel to what is strictly necessary and avoid close contact with others.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Treatment	treatment.travel	Pasteur	#recommend#exposure#travel#visit
🏠 People who have been exposed COVID-19 are advised to self-quarantine at least for 14 days	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-social-distancing-and-self-quarantine	2020-04-11	Treatment	treatment.quarantine	Hopkins	#Self-quarantine#Definition
🚫 Over-the-counter medications DO NOT treat the COVID-19 virus itself.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/which-otc-medications-are-best-for-coronavirus-symptoms	2020-05-07	Treatment	treatment.medication	University of Chicago Medicine	#medication #overthecounter #treat
ℹ️ Some over-the-counter medications can make you feel comfortable when you’re sick and treat COVID-19 related symptoms	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/which-otc-medications-are-best-for-coronavirus-symptoms	2020-05-07	Treatment	treatment.symptoms	University of Chicago Medicine	#medication #overthecounter #treat
ℹ️ There are currently no drugs licensed for the treatment or prevention of COVID-19.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-27	Treatment	treatment.drug	WHO 	treatment#drug#prevent
🙅🏾‍♂️ Antibiotics DO NOT work against viruses, only bacteria.The new coronavirus (COVID-19) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	2020-04-05	Treatment	treatment.antibiotics	WHO	antibiotics#medication#prevent#cure#treat
